id,process_id,work_type,product_code,standard_output,status,created_at,updated_at,exclude_kqd_from_tt
"60001","2","mai","c2556-2","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60002","2","mai","c2556-11","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60003","2","mai","c2556-8","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60004","2","mai","c2556-9","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60005","2","mai","2556-auto","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60006","2","mai","C2556-auto","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60007","2","mai","c2821","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60008","2","mai","c2822","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60009","2","mai","c8484","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60010","2","mai","c8485","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60011","2","mai","c3880-2","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60012","2","mai","c3880-11","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60013","2","mai","c3880-8","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60014","2","mai","c3880-9","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60015","2","mai","c9149","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60016","2","mai","c0575","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60017","2","mai","c3438","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60018","2","mai","c1080","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60019","2","mai","c1090","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60020","2","mai","c1657","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60021","2","mai","c5770-9","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60022","2","mai","c7630","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60023","2","mai","c5770","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60024","2","mai","c8052","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60025","2","mai","C5770-1","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60026","2","mai","c8234","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60027","2","mai","c8235","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60028","2","mai","c6773","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60029","2","mai","cpk-r","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60030","2","mai","c125","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60031","2","mai","c7236","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60032","2","mai","c2453","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60033","2","mai","c79c","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60034","2","mai","c79c-3","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60035","2","mai","cdk1","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
"60036","2","mai","c4268","0.00","active","2026-07-23 01:18:24","2026-07-23 01:18:53","0"
