id,process_id,deduction_code,deduction_name,sort_order,status,created_at,updated_at
"1","1","THIEU_SP","Thiếu sản lượng","1","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"2","1","BAT_MAY","Bật máy, xét máy","2","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"3","1","CHUYEN_MA","Chuyển mã","3","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"4","1","CHINH_MAY","Chỉnh máy","4","active","2026-07-20 01:57:44","2026-07-23 04:59:29"
"5","1","CHO_CHINH_MAY","Chờ chỉnh máy","5","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"6","1","MAT_DIEN","Mất điện","6","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"7","1","MAT_KHI","Mất khí","7","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"8","1","CHO_HANG","Chờ hàng","8","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"9","1","BAO_DUONG","Bảo dưỡng máy","9","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"10","1","NGHI_GIAI_LAO","Nghỉ giải lao","10","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"11","1","GIAO_CA","Giao ca","11","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"12","1","HO_TRO","Dừng máy đi hỗ trợ","12","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"13","1","5S","5S","13","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"14","1","DAO_TAO","Học việc, đào tạo","14","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"15","2","CHINH_MAY","Chỉnh máy","1","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"16","2","THAY_DA","Thay đá","2","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"17","2","BAO_DUONG","Bảo dưỡng máy","3","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"18","2","5S","5S","4","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"19","3","HOP","Họp","1","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"20","3","DAO_TAO","Đào tạo","2","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"21","3","CHO_HANG","Chờ hàng","3","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"22","4","HOP","Họp","1","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"23","4","DAO_TAO","Đào tạo","2","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"24","4","DONG_GOI","Chuẩn bị đóng gói","3","active","2026-07-20 01:57:44","2026-07-20 01:57:44"
"30001","1","GIAT_CAN_CS","Giặt cs, cân cs","15","active","2026-07-22 03:21:05","2026-07-22 03:21:05"
